db_id;question_pt;question_en;query;tipo;dificuldade
despesas_consolidada;Quais são os anos disponíveis nos dados?;Which years are available in the data?;SELECT DISTINCT ano FROM despesas_consolidadas;seleção;fácil
despesas_consolidada;Quais são os meses registrados?;Which months are recorded?;SELECT DISTINCT mes FROM despesas_consolidadas;seleção;fácil
despesas_consolidada;Quantos registros existem na tabela de despesas?;How many records are there in the expenses table?;SELECT COUNT(*) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Quais são os poderes registrados?;Which government branches are registered?;SELECT DISTINCT poder FROM despesas_consolidadas;seleção;fácil
despesas_consolidada;Quais são as funções de despesa distintas listadas?;What are the listed expense functions?;SELECT DISTINCT funcao FROM despesas_consolidadas;seleção;fácil
despesas_consolidada;Quais são os órgãos disponíveis?;Which departments are available?;SELECT DISTINCT orgao FROM despesas_consolidadas;seleção;fácil
despesas_consolidada;Quais são os códigos de unidade gestora distintos?;What are the managing unit codes?;SELECT DISTINCT cod_ug FROM despesas_consolidadas;seleção;fácil
despesas_consolidada;Liste todas as fontes de recurso distintas.;List all distinct resource sources.;SELECT DISTINCT fonte FROM despesas_consolidadas;seleção;fácil
despesas_consolidada;Quantos credores estão registrados?;How many creditors are registered?;SELECT COUNT(DISTINCT credor) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Qual o número de credores estão registrados?;How many creditors are registered?;SELECT COUNT(DISTINCT credor) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Quais são as programas presentes?;What are the present programs?;SELECT DISTINCT programa FROM despesas_consolidadas;seleção;fácil
despesas_consolidada;Qual é o valor total empenhado?;What is the total committed amount?;SELECT SUM(vl_empenhado) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Qual é o valor médio pago?;What is the average amount paid?;SELECT AVG(vl_pago_orcamentario) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Qual é o maior valor liquidado?;What is the highest settled value?;SELECT MAX(vl_liquidado) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Qual é o menor valor de dotação inicial?;What is the lowest initial allocation value?;SELECT MIN(vl_dotacao_inicial) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Quantos tipos de fonte existem?;How many types of sources are there?;SELECT COUNT(DISTINCT fonte) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Qual a quantidade de tipos de fonte existem?;How many types of sources are there?;SELECT COUNT(DISTINCT fonte) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Qual é a soma total da dotação atualizada?;What is the total of updated allocation?;SELECT SUM(vl_dotacao_atualizada) FROM despesas_consolidadas;agregação;fácil
despesas_consolidada;Qual é a média do valor empenhado por mês?;What is the average committed value per month?;SELECT AVG(vl_empenhado) FROM despesas_consolidadas GROUP BY nro_mes;agregação;médio
despesas_consolidada;Qual é o total de pagamentos por função?;What is the total payment by function?;SELECT funcao, SUM(vl_pago_orcamentario) FROM despesas_consolidadas GROUP BY funcao;agrupamento;médio
despesas_consolidada;Qual é o valor médio liquidado por poder?;What is the average settled value by government branch?;SELECT poder, AVG(vl_liquidado) FROM despesas_consolidadas GROUP BY poder;agrupamento;médio
despesas_consolidada;Qual foi o valor pago em 2025?;What was the amount paid in 2025?;SELECT SUM(vl_pago_orcamentario) FROM despesas_consolidadas WHERE ano = '2025';filtro;fácil
despesas_consolidada;Quais despesas foram realizadas no mês de 4/Abril?;What expenses were made in April?;SELECT * FROM despesas_consolidadas WHERE nro_mes = '04' OR mes like '%Abril%';filtro;fácil
despesas_consolidada;Qual é o total empenhado pelo órgão 'Secretaria de Estado da Segurança Pública'?;What is the total committed by 'Secretaria de Estado da Segurança Pública'?;SELECT SUM(vl_empenhado) FROM despesas_consolidadas WHERE orgao like '%Secretaria de Estado da Segurança Pública%';filtro;médio
despesas_consolidada;Quais são as despesas da função 'Educação'?;What are the expenses for the 'Education' function?;SELECT * FROM despesas_consolidadas WHERE funcao like '%Educação%';filtro;fácil
despesas_consolidada;Qual o total liquidado para o credor código 415045?;What is the settled total for code 415045?;SELECT SUM(vl_liquidado) FROM despesas_consolidadas WHERE cod_credor = '415045';filtro;fácil
despesas_consolidada;Qual é o total empenhado para o código de ação 1070?;What is the total committed for action code 1070?;SELECT SUM(vl_empenhado) FROM despesas_consolidadas WHERE cod_acao = '1070';filtro;fácil
despesas_consolidada;Quais são as despesas emergenciais registradas?;Which emergency expenses are registered?;SELECT * FROM despesas_consolidadas WHERE indicador_emergencial = 'Sim' OR indicador_emergencial = 1;filtro;fácil
despesas_consolidada;Quais são os registros com fonte recurso 'Fonte Tesouro'?;What are the records with source 'Fonte Tesouro'?;SELECT * FROM despesas_consolidadas WHERE fonte like '%Fonte Tesouro%';filtro;fácil
despesas_consolidada;Qual é o valor total liquidado no primeiro(1) quadrimestre?;What is the total settled in the 1st four-month period?;SELECT SUM(vl_liquidado) FROM despesas_consolidadas WHERE nro_quadrimestre = '1';filtro;fácil
despesas_consolidada;Qual é o total empenhado pela gestão 16097?;What is the total committed by management 16097?;SELECT SUM(vl_empenhado) FROM despesas_consolidadas WHERE cod_gestao = '16097';filtro;fácil
despesas_consolidada;Quais registros têm subfunção 'Educação Básica' em 2025?;Which records have subfunction 'Educação Básica' in 2025?;SELECT * FROM despesas_consolidadas WHERE subfuncao like '%Educação Básica%' AND ano = '2025';filtro;médio
despesas_consolidada;Qual foi o valor total empenhado por cada órgão?;What was the total committed amount by each agency?;SELECT orgao, SUM(vl_empenhado) FROM despesas_consolidadas GROUP BY orgao;agrupamento;médio
despesas_consolidada;Quais ações tiveram despesas liquidadas acima de 1 milhão?;Which actions had settled expenses above 1 million?;SELECT DISTINCT acao FROM despesas_consolidadas WHERE vl_liquidado > 1000000;filtro;médio
despesas_consolidada;Qual órgão teve mais pagamentos no primeiro trimestre?;Which agency had the most payments in the first quarter?;SELECT orgao, SUM(vl_pago_orcamentario) AS total_pago FROM despesas_consolidadas WHERE nro_trimestre = '1' GROUP BY orgao ORDER BY total_pago DESC LIMIT 1;agrupamento;difícil
despesas_consolidada;Liste os elementos de despesa com valores atualizados acima da média geral.;List expense elements with updated values above overall average.;SELECT elemento, vl_dotacao_atualizada FROM despesas_consolidadas WHERE vl_dotacao_atualizada > (SELECT AVG(vl_dotacao_atualizada) FROM despesas_consolidadas);filtro;difícil
despesas_consolidada;Quais são os órgãos que realizaram despesas com material de consumo?;Which agencies made expenses with material consumption?;SELECT DISTINCT orgao FROM despesas_consolidadas WHERE elemento LIKE '%Material de Consumo%';filtro;médio
despesas_consolidada;Qual a ação com maior valor de dotação inicial em 2025?;What is the action with the highest initial appropriation in 2025?;SELECT acao, MAX(vl_dotacao_inicial) FROM despesas_consolidadas WHERE ano = '2025';filtro;médio
despesas_consolidada;Quais elementos de despesa foram usados por mais de um órgão?;Which expense elements were used by more than one agency?;SELECT elemento FROM despesas_consolidadas GROUP BY elemento HAVING COUNT(DISTINCT orgao) > 1;agrupamento;difícil
