db_id;question_pt;question_en;query;
expense;Quais são os anos disponíveis nos dados?;Which years are available in the data?;SELECT DISTINCT year FROM time;
expense;Quais são os meses registrados?;Which months are recorded?;SELECT DISTINCT month FROM time;
expense;Quantos registros existem na tabela de despesas?;How many records are there in the expenses table?;SELECT COUNT(*) FROM expense_fact;
expense;Quais são os poderes registrados?;Which government branches are registered?;SELECT DISTINCT pb.power_name FROM expense_fact ef LEFT JOIN power_branch pb  ON ef.power_code = pb.power_code;
expense;Quais são as funções de despesa distintas listadas?;What are the listed expense functions?;SELECT DISTINCT f.function_name FROM expense_fact ef LEFT JOIN function f ON ef.function_code = f.function_code;
expense;Quais são os órgãos disponíveis?;Which departments are available?;SELECT DISTINCT a.agency_name FROM expense_fact ef LEFT JOIN agency a ON ef.agency_code = a.agency_code;
expense;Quais são os códigos de unidade gestora distintos?;What are the managing unit codes?;SELECT DISTINCT management_code FROM expense_fact ef;
expense;Liste todas as fontes de recurso distintas.;List all distinct resource sources.;SELECT DISTINCT fs.source_name FROM expense_fact ef LEFT JOIN funding_source fs ON ef.source_code = fs.source_code;
expense;Quantos credores estão registrados?;How many creditors are registered?;SELECT COUNT(DISTINCT creditor_code) FROM expense_fact;
expense;Quais são as programas presentes?;What are the present programs?;SELECT DISTINCT p.program_name FROM expense_fact ef LEFT JOIN program p ON ef.program_code = p.program_code;
expense;Qual é o valor total empenhado?;What is the total committed amount?; SELECT SUM(committed_value) FROM expense_fact;
expense;Qual é o valor médio pago?;What is the average amount paid?;SELECT AVG(paid_budget_value) FROM expense_fact;
expense;Qual é o maior valor liquidado?;What is the highest settled value?;SELECT MAX(settled_value) FROM expense_fact;
expense;Qual é o menor valor de dotação inicial?;What is the lowest initial allocation value?;SELECT MIN(initial_budget_value) FROM expense_fact;
expense;Quantos tipos de fonte existem?;How many types of sources are there?;SELECT COUNT(DISTINCT fs.source_name) FROM expense_fact ef LEFT JOIN funding_source fs ON ef.source_code = fs.source_code;
expense;Qual é a soma total da dotação atualizada?;What is the total of updated allocation?; SELECT SUM(updated_budget_value) FROM expense_fact;
expense;Qual é a média do valor empenhado por mês?;What is the average committed value per month?;SELECT t.month, AVG(ef.committed_value) FROM expense_fact ef LEFT JOIN time t ON ef.time_id = t.id GROUP BY t.month;
expense;Qual é o total de pagamentos por função?;What is the total payment by function?;SELECT function_code, SUM(paid_budget_value) FROM expense_fact GROUP BY function_code;
expense;Qual é o valor médio liquidado por poder?;What is the average settled value by government branch?;SELECT pb.power_name, AVG(ef.settled_value) FROM expense_fact ef LEFT JOIN power_branch pb ON ef.power_code = pb.power_code GROUP BY pb.power_code;
expense;Qual foi o valor pago em 2025?;What was the amount paid in 2025?;SELECT SUM(ef.paid_budget_value) FROM expense_fact ef LEFT JOIN time t ON ef.time_id = t.id WHERE t.year = 2025;
expense;Qual o total liquidado para o credor código 415045?;What is the settled total for code 415045?;SELECT SUM(settled_value) FROM expense_fact WHERE creditor_code = 415045;
expense;Selecione todos os registros do 2º trimestre de 2025.;Select all records from the 2nd trimester of 2025.;SELECT t.trimester, AVG(ef.settled_value) FROM expense_fact ef LEFT JOIN time t ON ef.time_id = t.id WHERE t.trimester  = '2º Trimestre' GROUP BY t.trimester;
expense;Qual é o total empenhado para o código de ação 1070?;What is the total committed for action code 1070?;SELECT SUM(committed_value) FROM expense_fact WHERE action_code = 1070;
expense;Quais são as despesas emergenciais registradas?;Which emergency expenses are registered?;SELECT * FROM expense_fact WHERE emergency_indicator = 0;
expense;Quais são os registros com fonte recurso 'Fonte Tesouro'?;What are the records with source 'Fonte Tesouro'?;SELECT * FROM expense_fact ef LEFT JOIN funding_source fs ON ef.source_code = fs.source_code WHERE fs.source_name LIKE '%Fonte Tesouro%';
expense;Qual é o valor total liquidado no 1º quadrimestre?;What is the total settled in the 1st four-month period?;SELECT t.quadrimester, AVG(ef.settled_value) FROM expense_fact ef LEFT JOIN time t ON ef.time_id = t.id WHERE t.quadrimester = '1º Quadrimestre' GROUP BY t.quadrimester;
expense;Quais são os registros de 2025 para a unidade gestora 160085?;What are the 2025 records for managing unit 160085?;SELECT * FROM expense_fact ef LEFT JOIN time t ON ef.time_id = t.id WHERE t.year = 2025 AND ef.management_code = 160085;
expense;Qual é a média do valor pago em Abril de 2025?;What is the average amount paid in April 2025?;SELECT AVG(ef.paid_budget_value) FROM expense_fact ef LEFT JOIN time t ON ef.time_id = t.id WHERE t.year = 2025 AND t.month_number = 4;
expense;Quais ações têm valor liquidado acima de 50000000?;Which actions have settled value above 50000000?;SELECT action_code FROM expense_fact WHERE settled_value > 50000000;
expense;Qual é o total empenhado pela gestão 16097?;What is the total committed by management 16097?;SELECT SUM(committed_value) FROM expense_fact WHERE management_code = 16097;
expense;Quais registros têm subfunção 'Educação Básica' em 2025?;Which records have subfunction 'Educação Básica' in 2025?;SELECT * FROM expense_fact ef LEFT JOIN subfunction sf ON ef.subfunction_code = sf.subfunction_code LEFT JOIN time t ON ef.time_id = t.id WHERE sf.subfunction_name LIKE '%Educação Básica%' AND t.year = 2025;
expense;Qual foi o valor total empenhado por cada órgão?;What was the total committed amount by each agency?;SELECT a.agency_name, SUM(ef.committed_value) FROM expense_fact ef JOIN agency a ON ef.agency_code = a.agency_code GROUP BY a.agency_code;
expense;Quais ações tiveram despesas liquidadas acima de 1 milhão?;Which actions had settled expenses above 1 million?;SELECT ac.action_name FROM expense_fact ef JOIN action ac ON ef.action_code = ac.action_code WHERE ef.settled_value > 1000000;
expense;Qual órgão teve mais pagamentos no primeiro trimestre?;Which agency had the most payments in the first quarter?;SELECT a.agency_name, SUM(ef.paid_budget_value) FROM expense_fact ef LEFT JOIN agency a ON ef.agency_code = a.agency_code LEFT JOIN time t ON ef.time_id = t.id WHERE t.trimester_number = 1 GROUP BY a.agency_code ORDER BY SUM(ef.paid_budget_value) DESC LIMIT 1;
expense;Liste os elementos de despesa com valores atualizados acima da média geral.;List expense elements with updated values above overall average.;SELECT e.element_name FROM expense_fact ef JOIN element e ON ef.element_code = e.element_code GROUP BY e.element_name HAVING AVG(ef.updated_budget_value ) > (SELECT AVG(updated_budget_value ) FROM expense_fact);
expense;Quais são os órgãos que realizaram despesas com 'material de consumo'?;Which agencies made expenses with 'material de consumo'?;SELECT DISTINCT a.agency_name FROM expense_fact ef JOIN agency a ON ef.agency_code = a.agency_code JOIN element e ON ef.element_code = e.element_code WHERE e.element_name LIKE '%material de consumo%';
expense;Qual a ação com maior valor de dotação inicial em 2025?;What is the action with the highest initial appropriation in 2025?;SELECT ac.action_name FROM expense_fact ef JOIN action ac ON ef.action_code = ac.action_code JOIN time t ON ef.time_id = t.id WHERE t.year = 2025 ORDER BY ef.initial_budget_value DESC LIMIT 1;
expense;Quais elementos de despesa foram usados por mais de um órgão?;Which expense elements were used by more than one agency?;SELECT e.element_name FROM expense_fact ef JOIN element e ON ef.element_code = e.element_code GROUP BY e.element_name HAVING COUNT(DISTINCT ef.agency_code) > 1;
expense;Liste os valores pagos por cada combinação de órgão e ação.;List payments for each agency-action combination.;SELECT a.agency_name, ac.action_name, SUM(ef.paid_budget_value) FROM expense_fact ef JOIN agency a ON ef.agency_code = a.agency_code JOIN action ac ON ef.action_code = ac.action_code GROUP BY a.agency_name, ac.action_name;
expense;Qual foi o valor liquidado por mês para a ação "Gestão das atividades aéreas"?;What was the settled value per month for the action "Gestão das atividades aéreas"?;SELECT t.month_number, SUM(ef.settled_value) FROM expense_fact ef JOIN action ac ON ef.action_code = ac.action_code JOIN time t ON ef.time_id = t.id WHERE ac.action_name LIKE '%Gestão das atividades aéreas%' GROUP BY t.month_number;
expense;Quais órgãos tiveram despesas em mais de 3 meses diferentes?;Which agencies had expenses in more than 3 different months?;SELECT a.agency_name FROM expense_fact ef JOIN agency a ON ef.agency_code = a.agency_code JOIN time t ON ef.time_id = t.id GROUP BY a.agency_name HAVING COUNT(DISTINCT t.month_number) > 3;
expense;Qual o valor orçado por mes ?;What is the budgeted amount per month?;SELECT t.month, SUM(ef.initial_budget_value) AS budgeted_amount FROM expense_fact ef LEFT JOIN time t ON ef.time_id = t.id GROUP BY t.month;
expense;Qual é o total empenhado pelo órgão 'Secretaria de Estado da Segurança Pública'?;What is the total committed by 'Secretaria de Estado da Segurança Pública'?;SELECT SUM(ef.committed_value) FROM expense_fact ef LEFT JOIN agency a ON ef.agency_code = a.agency_code WHERE a.agency_name LIKE '%Segurança Pública%';
expense;Quais são as despesas da função 'Educação'?;What are the expenses for the 'Educação' function?;SELECT * FROM expense_fact ef LEFT JOIN function f ON ef.function_code = f.function_code WHERE f.function_name LIKE '%Educação%';
expense;Quais despesas foram realizadas no mês de 4/Abril?;What expenses were made in April?;SELECT * FROM expense_fact ef LEFT JOIN time t ON ef.time_id = t.id WHERE t.month_number = 4;
